iter	Logloss
239	0.4010811993
240	0.4009871032
241	0.4008365486
242	0.4007350086
243	0.4006837139
244	0.4006341831
245	0.4004580799
246	0.4004267445
247	0.400299637
248	0.4002146635
249	0.4000705652
250	0.3999955065
251	0.3998983291
252	0.3998250775
253	0.3996491087
254	0.3995218453
255	0.3993589528
256	0.399147666
257	0.3990768456
258	0.3989575564
259	0.3988440939
260	0.3987717595
261	0.3986711473
262	0.3984492377
263	0.3982852188
264	0.3981521398
265	0.3980191269
266	0.3979041627
267	0.3978123776
268	0.3976721689
269	0.3976036377
270	0.3974723309
271	0.3974113373
272	0.3972810086
273	0.3972322407
274	0.3971200185
275	0.3970271993
276	0.3968872195
277	0.3967152291
278	0.3966318688
279	0.3965400584
280	0.3964363434
281	0.3963154283
282	0.3961628012
283	0.3960523441
284	0.3959626065
285	0.3959085527
286	0.3958191088
287	0.3956372062
288	0.3955783694
289	0.3954651693
290	0.3954040268
291	0.3953439622
292	0.3952173742
293	0.3950741423
294	0.3949351475
295	0.3947826177
296	0.3946553028
297	0.3945862453
298	0.3943633308
299	0.3942852639
300	0.3941655426
301	0.3940418662
302	0.3938622328
303	0.3936534071
304	0.3934840306
305	0.3933758616
306	0.3932903569
307	0.3931474111
308	0.3930956612
309	0.3929393087
310	0.3928776753
311	0.3927876288
312	0.3926699746
313	0.3925763276
314	0.3924227631
315	0.3923615937
316	0.3922840794
317	0.3921804892
318	0.392019431
319	0.3918381942
320	0.391696984
321	0.3915624022
322	0.3914456543
323	0.391403398
324	0.3912829156
325	0.3911569367
326	0.3911270113
327	0.3910366106
328	0.390939989
329	0.3907918446
330	0.3907071488
331	0.3905275133
332	0.3903587978
333	0.3902733722
334	0.3901754075
335	0.3899795588
336	0.3898223242
337	0.3896395867
338	0.3894760639
339	0.3893774391
340	0.3892895782
341	0.3891774873
342	0.3890733748
343	0.3889653338
344	0.3888555691
345	0.3888256178
346	0.3886630374
347	0.3885651852
348	0.3883752173
349	0.3881782695
350	0.3881406955
351	0.388033218
352	0.3879271116
353	0.3878630191
354	0.3877332659
355	0.3876195516
356	0.3874183624
357	0.3873286615
358	0.3871681817
359	0.3870683374
360	0.3869379429
361	0.3868071981
362	0.3866418153
363	0.3864032936
364	0.3862988698
365	0.3861366932
366	0.3860643059
367	0.3859960753
368	0.3859370014
369	0.3857731915
370	0.3856069838
371	0.3854633609
372	0.3853462662
373	0.3851722516
374	0.3850999768
375	0.384956736
376	0.3848366766
377	0.3847035957
378	0.3845933519
379	0.3845112494
380	0.3844402662
381	0.3842976013
382	0.3842167277
383	0.3840317517
384	0.383915731
385	0.383800349
386	0.3836918618
387	0.3834964183
388	0.3834047929
389	0.3833124635
390	0.3831586483
391	0.3830325486
392	0.3829535465
393	0.3827972754
394	0.3826547553
395	0.3825095598
396	0.3823997683
397	0.3823032549
398	0.3821416704
399	0.3820286948
400	0.3818886093
401	0.3817322515
402	0.3816108777
403	0.381391988
404	0.3812542321
405	0.3811222079
406	0.3810563228
407	0.3808516625
408	0.380653496
409	0.3805597443
410	0.3804623633
411	0.3803445682
412	0.3802481028
413	0.3800665278
414	0.3800093587
415	0.379918081
416	0.3797916731
417	0.3797869211
418	0.3796404836
419	0.3795313935
420	0.3793612808
421	0.3792214105
422	0.3790459202
423	0.3789430359
424	0.3787953859
425	0.3787007092
426	0.3786136634
427	0.3785364396
428	0.3783544918
429	0.3782442465
430	0.3781239436
431	0.3779753571
432	0.3778582535
433	0.3778055505
434	0.3776684402
435	0.3775856845
436	0.3774619557
437	0.3773243572
438	0.3772001715
439	0.3771054726
440	0.3769921149
441	0.3768912751
442	0.3767598886
443	0.3766517554
444	0.3765447737
445	0.3764354497
446	0.3763050489
447	0.3762448466
448	0.3761434137
449	0.3760528362
450	0.3759028241
451	0.3757449642
452	0.3756422041
453	0.3756371454
454	0.3754229611
455	0.375294843
456	0.3752031392
457	0.3750516016
458	0.3749207616
459	0.3748229025
460	0.3747297493
461	0.3746190418
462	0.3744922832
463	0.3743496524
464	0.374339836
465	0.3743310396
466	0.3742490294
467	0.3741785511
468	0.3740990748
469	0.3739875647
470	0.373977124
471	0.3739522177
472	0.3737998034
473	0.373683258
474	0.373589241
475	0.3734991497
476	0.373357311
477	0.3732388961
478	0.3731152875
479	0.3730607795
480	0.3730529306
481	0.3729289459
482	0.3727983822
483	0.3727241952
484	0.3726231778
485	0.3725824034
486	0.3724159181
487	0.3723049873
488	0.372208216
489	0.3720577938
490	0.3719062881
491	0.3717174662
492	0.3716264612
493	0.37154124
494	0.3714696855
495	0.3713409573
496	0.3712693056
497	0.3711996894
498	0.3711319158
499	0.3710552083
500	0.370958146
501	0.3708656949
502	0.3707765395
503	0.3706725418
504	0.3706078434
505	0.3705536095
506	0.3704369138
507	0.3702912562
508	0.3702405412
509	0.3701129027
510	0.3699791811
511	0.3698649455
512	0.3697462907
513	0.3696139777
514	0.36948716
515	0.3694350461
516	0.3692755895
517	0.3691949329
518	0.3690626732
519	0.3689339506
520	0.3688598173
521	0.3687260647
522	0.3686496112
523	0.3685394328
524	0.3684323707
525	0.3683568467
526	0.3682508655
527	0.3682466898
528	0.3680604966
529	0.3680150137
530	0.367935535
531	0.3678535166
532	0.3677485874
533	0.3676252659
534	0.36748555
535	0.367355537
536	0.3673505507
537	0.3672457718
538	0.3671330531
539	0.3670501367
540	0.3670162896
541	0.3669030684
542	0.3668233741
543	0.3667131026
544	0.3665275278
545	0.3664360177
546	0.3662897551
547	0.3662177669
548	0.3661049445
549	0.3660347919
550	0.3659309317
551	0.3658083299
552	0.365713191
553	0.3655250118
554	0.3654887314
555	0.3654781832
556	0.3653657086
557	0.3652862749
558	0.3651722809
559	0.3650151156
560	0.3649351938
561	0.3648227484
562	0.364770129
563	0.36469325
564	0.3645201649
565	0.3644316593
566	0.3643347529
567	0.3642370035
568	0.3641293991
569	0.3640663044
570	0.3639368147
571	0.3638556567
572	0.3637289535
573	0.3636183429
574	0.363509053
575	0.3634569164
576	0.3633626101
577	0.3632639954
578	0.3631768963
579	0.3630859846
580	0.3629730515
581	0.3629208552
582	0.3628287262
583	0.3627015388
584	0.3626943946
585	0.3625974315
586	0.3625031996
587	0.3623814197
588	0.3622793044
589	0.362210304
590	0.3620910171
591	0.361886787
592	0.3617683252
593	0.3616942791
594	0.3615940576
595	0.3615292267
596	0.3614687719
597	0.3613481269
598	0.3612796875
599	0.3611892242
600	0.3610424274
601	0.3610336414
602	0.3609063362
603	0.360762436
604	0.3606174017
605	0.3605136402
606	0.3604624922
607	0.3603490877
608	0.3602670295
609	0.3601417655
610	0.3600679786
611	0.3600311554
612	0.359911436
613	0.359758716
614	0.3597550717
615	0.3596047091
616	0.3595978573
617	0.3595437554
618	0.3594261279
619	0.3593744403
620	0.3592211603
621	0.3591667103
622	0.3591127469
623	0.3590132163
624	0.3588616832
625	0.3587210698
626	0.3586171525
627	0.3585696968
628	0.3584751876
629	0.3584679795
630	0.3583337299
631	0.3582594028
632	0.3581497906
633	0.3580518478
634	0.3580462456
635	0.3579553965
636	0.3578916314
637	0.3578533303
638	0.3578483311
639	0.3577051968
640	0.3576971725
641	0.3576107345
642	0.3575441173
643	0.3574454541
644	0.357312066
645	0.3572339699
646	0.3571718371
647	0.3570582056
648	0.3569725358
649	0.3569028335
650	0.356858061
651	0.3567142801
652	0.3566156043
653	0.3564599054
654	0.3562778709
655	0.3561712445
656	0.3560194081
657	0.355946926
658	0.3558240877
659	0.3557744667
660	0.3556237787
661	0.3555136394
662	0.3553873225
663	0.3552612032
664	0.3552173306
665	0.355102096
666	0.3549628114
667	0.3548706182
668	0.354794445
669	0.3547026347
670	0.3545645004
671	0.3544211931
672	0.3543080834
673	0.3541664595
674	0.3540086764
675	0.3538443072
676	0.3537702509
677	0.3536739128
678	0.3535977999
679	0.3534934843
680	0.353407675
681	0.3533149243
682	0.353234444
683	0.3531223
684	0.3531191938
685	0.3531131889
686	0.3529987702
687	0.3528960852
688	0.3527905766
689	0.3526703937
690	0.3525545254
691	0.3524341286
692	0.3523296988
693	0.352208713
694	0.3521395094
695	0.3521310169
696	0.3519962864
697	0.3519026306
698	0.3518419517
699	0.3517470155
700	0.3516312591
701	0.3515620946
702	0.3514903811
703	0.3513411207
704	0.3512083864
705	0.3511579834
706	0.3510737274
707	0.3509714553
708	0.3508973345
709	0.3508658782
710	0.3507969853
711	0.3507371833
712	0.3506699048
713	0.3505737722
714	0.350502028
715	0.3503873498
716	0.3502969094
717	0.3502044268
718	0.3500983883
719	0.3499952147
720	0.3499161562
721	0.3497959937
722	0.3496233393
723	0.3494986627
724	0.3494155288
725	0.3492890781
726	0.3491871429
727	0.3491820778
728	0.3490287977
729	0.3488450133
730	0.3487335637
731	0.348646065
732	0.3485783906
733	0.3484404691
734	0.3483251109
735	0.3482703725
736	0.3481148312
737	0.3480062356
738	0.3479031087
739	0.3478807131
740	0.3477248874
741	0.3476203826
742	0.3475271925
743	0.3474642819
744	0.3474128754
745	0.3473053666
746	0.3471831584
747	0.3470923698
748	0.3470274371
749	0.3469168641
750	0.3467861547
751	0.3466433737
752	0.3465452406
753	0.3465161909
754	0.3464633572
755	0.3463343347
756	0.3462584874
757	0.346178675
758	0.3461598129
759	0.346037166
760	0.3459456557
761	0.3457985317
762	0.3456913774
763	0.3455900407
764	0.3454790597
765	0.3453853981
766	0.3453720159
767	0.3452223492
768	0.3451398967
769	0.3450865791
770	0.3449626655
771	0.3448898606
772	0.3448180771
773	0.3447552477
774	0.3446757801
775	0.3445612279
776	0.3444052472
777	0.3443554323
778	0.3442913627
779	0.3442129017
780	0.3440583141
781	0.3439349891
782	0.3438663523
783	0.3437726666
784	0.3436807713
785	0.3435996452
786	0.3434789502
787	0.3434489009
788	0.3433622688
789	0.3433117844
790	0.3431967061
791	0.3430534993
792	0.3429062226
793	0.3427948016
794	0.3426552345
795	0.3426027344
796	0.3424436213
797	0.3423322743
798	0.3422658163
799	0.342173076
800	0.342094743
801	0.3420488266
802	0.3419967718
803	0.34194628
804	0.3418596636
805	0.3417307833
806	0.3416542651
807	0.3415885727
808	0.34152333
809	0.3414268064
810	0.3413724072
811	0.3413000456
812	0.3412975595
813	0.3411959209
814	0.3410820279
815	0.3409467351
816	0.3408574673
817	0.3407074998
818	0.3406574479
819	0.3406306984
820	0.3405881776
821	0.3404889199
822	0.3403687287
823	0.3402744981
824	0.3401996046
825	0.3401019778
826	0.339952812
827	0.3399025301
828	0.3398043222
829	0.339711445
830	0.3395969477
831	0.3394662895
832	0.3393417089
833	0.3392623751
834	0.3392059429
835	0.3391245652
836	0.3390149223
837	0.3389516776
838	0.3388555765
839	0.3387325204
840	0.3387087684
841	0.3386291932
842	0.3385422731
843	0.3385239849
844	0.3384673873
845	0.3383973296
846	0.3382963097
847	0.3381911983
848	0.3380840094
849	0.3379824215
850	0.3379268566
851	0.3378756403
852	0.3377476718
853	0.3376276154
854	0.3375872284
855	0.3374779011
856	0.3373838773
857	0.3372799523
858	0.3371662588
859	0.3370153587
860	0.3369333911
861	0.3368819412
862	0.3367881
863	0.3367071358
864	0.3366210404
865	0.3365912868
866	0.3364367027
867	0.336358627
868	0.3362802337
869	0.3362289993
870	0.3361601489
871	0.3361088891
872	0.3360224505
873	0.3359171221
874	0.3358191547
875	0.3357314007
876	0.3355826467
877	0.3355174066
878	0.335444392
879	0.3353687834
880	0.3353350654
881	0.3352767377
882	0.3351811824
883	0.3351081529
884	0.3350074424
885	0.3349036045
886	0.3348331686
887	0.3347789451
888	0.3346888123
889	0.3346240824
890	0.3344965311
891	0.3343760881
892	0.3342330385
893	0.334145573
894	0.3340252534
895	0.3339405708
896	0.3338790516
897	0.3337548686
898	0.3336704266
899	0.3335439999
900	0.3334254628
901	0.333334987
902	0.3332575527
903	0.3331725003
904	0.3330954905
905	0.3330541031
906	0.3329953983
907	0.3329000862
908	0.3328029786
909	0.3326387986
910	0.3325513374
911	0.3324936756
912	0.3323826773
913	0.33235298
914	0.3323011904
915	0.3322280109
916	0.3321714932
917	0.3320734374
918	0.332007423
919	0.3319302414
920	0.3318769142
921	0.3318029587
922	0.3316918219
923	0.3316012897
924	0.3314965103
925	0.3314530407
926	0.3313739012
927	0.3312948953
928	0.3311964075
929	0.3310882562
930	0.3309871717
931	0.3308384718
932	0.33075694
933	0.3306832413
934	0.3306552853
935	0.3306261334
936	0.33056483
937	0.3305043487
938	0.330375289
939	0.3303592856
940	0.3302776394
941	0.3302235937
942	0.3301645926
943	0.330039852
944	0.3299549337
945	0.3298958283
946	0.3297990128
947	0.3297614839
948	0.3296606494
949	0.3295949543
950	0.3294773928
951	0.329417119
952	0.3293436252
953	0.3292565209
954	0.3291970143
955	0.3291125599
956	0.3289978141
957	0.328941624
958	0.3288221142
959	0.3287669889
960	0.328655365
961	0.3285590122
962	0.3284692418
963	0.3283937821
964	0.3283301275
965	0.3281810047
966	0.3280479126
967	0.3279356526
968	0.3278606459
969	0.327725265
970	0.3276371542
971	0.3275627913
972	0.3274683374
973	0.3273713568
974	0.3273152229
975	0.3272182603
976	0.3271870747
977	0.3270777839
978	0.3269976925
979	0.326912468
980	0.3268405191
981	0.3267266243
982	0.3266447077
983	0.3265706389
984	0.3264925567
985	0.3264688027
986	0.3263904134
987	0.3263130466
988	0.3262280294
989	0.3261467048
990	0.326090974
991	0.3260535738
992	0.325965097
993	0.3258884655
994	0.3258290768
995	0.3256940425
996	0.3256108837
997	0.3255707646
998	0.3254875664
999	0.3253589335
