iter	Passed	Remaining
0	6	6376
1	11	5871
2	16	5372
3	20	5112
4	25	4991
5	40	6715
6	52	7378
7	60	7510
8	65	7180
9	73	7310
10	86	7753
11	96	7933
12	106	8122
13	115	8154
14	120	7904
15	125	7696
16	129	7509
17	132	7244
18	137	7093
19	142	6959
20	146	6836
21	151	6743
22	156	6659
23	164	6692
24	174	6806
25	182	6847
26	187	6751
27	192	6672
28	197	6598
29	203	6585
30	208	6512
31	212	6439
32	217	6365
33	222	6309
34	226	6252
35	231	6197
36	236	6157
37	242	6147
38	248	6116
39	252	6071
40	257	6022
41	262	5980
42	266	5936
43	271	5899
44	276	5862
45	282	5859
46	287	5824
47	291	5789
48	296	5755
49	301	5721
50	305	5691
51	310	5661
52	315	5634
53	325	5694
54	336	5773
55	344	5815
56	349	5786
57	354	5755
58	358	5722
59	366	5746
60	371	5713
61	376	5689
62	380	5662
63	385	5637
64	390	5613
65	395	5590
66	402	5606
67	412	5652
68	417	5629
69	422	5606
70	426	5584
71	431	5560
72	435	5531
73	440	5509
74	444	5483
75	449	5463
76	454	5443
77	458	5421
78	465	5431
79	470	5407
80	474	5384
81	479	5364
82	484	5352
83	489	5339
84	494	5322
85	499	5304
86	503	5284
87	508	5265
88	512	5244
89	517	5229
90	521	5213
91	529	5226
92	534	5209
93	539	5195
94	543	5178
95	547	5159
96	552	5143
97	557	5127
98	561	5110
99	566	5096
100	571	5083
101	575	5068
102	582	5071
103	586	5056
104	591	5043
105	596	5030
106	600	5014
107	605	4998
108	610	4987
109	614	4974
110	619	4961
111	623	4947
112	628	4936
113	633	4924
114	638	4913
115	643	4903
116	651	4914
117	660	4938
118	670	4965
119	677	4971
120	682	4957
121	687	4945
122	695	4960
123	705	4987
124	715	5009
125	726	5036
126	735	5054
127	740	5042
128	745	5032
129	749	5016
130	754	5002
131	758	4988
132	762	4971
133	766	4956
134	771	4944
135	778	4944
136	783	4933
137	787	4920
138	792	4909
139	796	4895
140	801	4881
141	805	4868
142	810	4857
143	820	4874
144	829	4893
145	841	4919
146	856	4970
147	869	5005
148	881	5035
149	893	5062
150	898	5050
151	903	5039
152	908	5027
153	913	5018
154	918	5004
155	922	4989
156	927	4979
157	931	4965
158	936	4954
159	942	4949
160	947	4937
161	952	4925
162	956	4913
163	961	4902
164	966	4890
165	970	4876
166	979	4886
167	992	4915
168	1002	4929
169	1009	4930
170	1014	4918
171	1019	4906
172	1030	4925
173	1040	4938
174	1051	4955
175	1062	4972
176	1067	4962
177	1073	4956
178	1080	4957
179	1086	4947
180	1091	4937
181	1095	4925
182	1100	4912
183	1105	4902
184	1110	4891
185	1115	4882
186	1120	4870
187	1130	4882
